timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,0,0,0.999966,0.000380,0.999966,0.000034
0.033333,0,0,0.999966,0.000380,0.999966,0.000034
0.066667,0,0,0.999966,0.000380,0.999966,0.000034
0.100000,0,0,0.999966,0.000380,0.999966,0.000034
0.133333,0,0,0.999966,0.000380,0.999966,0.000034
0.166667,0,0,0.999966,0.000380,0.999966,0.000034
0.200000,0,0,0.999966,0.000380,0.999966,0.000034
0.233333,0,0,0.999966,0.000380,0.999966,0.000034
0.266667,0,0,0.999983,0.000207,0.999983,0.000017
0.300000,0,0,0.999983,0.000207,0.999983,0.000017
0.333333,0,0,0.999983,0.000207,0.999983,0.000017
0.366667,0,0,0.999983,0.000207,0.999983,0.000017
0.400000,0,0,0.999983,0.000207,0.999983,0.000017
0.433333,0,0,0.999983,0.000207,0.999983,0.000017
0.466667,0,0,0.999983,0.000207,0.999983,0.000017
0.500000,0,0,0.999983,0.000207,0.999983,0.000017
0.533333,0,0,0.999794,0.001954,0.999794,0.000206
0.566667,0,0,0.999794,0.001954,0.999794,0.000206
0.600000,0,0,0.999794,0.001954,0.999794,0.000206
0.633333,0,0,0.999794,0.001954,0.999794,0.000206
0.666667,0,0,0.999794,0.001954,0.999794,0.000206
0.700000,0,0,0.999794,0.001954,0.999794,0.000206
0.733333,0,0,0.999794,0.001954,0.999794,0.000206
0.766667,0,0,0.999794,0.001954,0.999794,0.000206
0.800000,0,0,0.966722,0.145959,0.966722,0.033278
0.833333,0,0,0.966722,0.145959,0.966722,0.033278
0.866667,0,0,0.966722,0.145959,0.966722,0.033278
0.900000,0,0,0.966722,0.145959,0.966722,0.033278
0.933333,0,0,0.966722,0.145959,0.966722,0.033278
0.966667,0,0,0.966722,0.145959,0.966722,0.033278
1.000000,0,0,0.966722,0.145959,0.966722,0.033278
1.033333,0,0,0.966722,0.145959,0.966722,0.033278
1.066667,0,0,0.965719,0.149323,0.965719,0.034281
1.100000,0,0,0.965719,0.149323,0.965719,0.034281
1.133333,0,0,0.965719,0.149323,0.965719,0.034281
1.166667,0,0,0.965719,0.149323,0.965719,0.034281
1.200000,0,0,0.965719,0.149323,0.965719,0.034281
1.233333,0,0,0.965719,0.149323,0.965719,0.034281
1.266667,0,0,0.965719,0.149323,0.965719,0.034281
1.300000,0,0,0.965719,0.149323,0.965719,0.034281
1.333333,0,0,0.998791,0.009328,0.998791,0.001209
1.366667,0,0,0.998791,0.009328,0.998791,0.001209
1.400000,0,0,0.998791,0.009328,0.998791,0.001209
1.433333,0,0,0.998791,0.009328,0.998791,0.001209
1.466667,0,0,0.998791,0.009328,0.998791,0.001209
1.500000,0,0,0.998791,0.009328,0.998791,0.001209
1.533333,0,0,0.998791,0.009328,0.998791,0.001209
1.566667,0,0,0.998791,0.009328,0.998791,0.001209
1.600000,0,0,0.999988,0.000143,0.999988,0.000012
1.633333,0,0,0.999988,0.000143,0.999988,0.000012
1.666667,0,0,0.999988,0.000143,0.999988,0.000012
1.700000,0,0,0.999988,0.000143,0.999988,0.000012
1.733333,0,0,0.999988,0.000143,0.999988,0.000012
1.766667,0,0,0.999988,0.000143,0.999988,0.000012
1.800000,0,0,0.999988,0.000143,0.999988,0.000012
1.833333,0,0,0.999988,0.000143,0.999988,0.000012
1.866667,0,0,0.999870,0.001291,0.999870,0.000130
1.900000,0,0,0.999870,0.001291,0.999870,0.000130
1.933333,0,0,0.999870,0.001291,0.999870,0.000130
1.966667,0,0,0.999870,0.001291,0.999870,0.000130
2.000000,0,0,0.999870,0.001291,0.999870,0.000130
2.033333,0,0,0.999870,0.001291,0.999870,0.000130
2.066667,0,0,0.999870,0.001291,0.999870,0.000130
2.100000,0,0,0.999870,0.001291,0.999870,0.000130
2.133333,0,0,0.999882,0.001188,0.999882,0.000118
2.166667,0,0,0.999882,0.001188,0.999882,0.000118
2.200000,0,0,0.999882,0.001188,0.999882,0.000118
2.233333,0,0,0.999882,0.001188,0.999882,0.000118
2.266667,0,0,0.999882,0.001188,0.999882,0.000118
2.300000,0,0,0.999882,0.001188,0.999882,0.000118
2.333333,0,0,0.999882,0.001188,0.999882,0.000118
2.366667,0,0,0.999882,0.001188,0.999882,0.000118
2.400000,0,0,0.999983,0.000202,0.999983,0.000017
2.433333,0,0,0.999983,0.000202,0.999983,0.000017
2.466667,0,0,0.999983,0.000202,0.999983,0.000017
2.500000,0,0,0.999983,0.000202,0.999983,0.000017
2.533333,0,0,0.999983,0.000202,0.999983,0.000017
2.566667,0,0,0.999983,0.000202,0.999983,0.000017
2.600000,0,0,0.999983,0.000202,0.999983,0.000017
2.633333,0,0,0.999983,0.000202,0.999983,0.000017
2.666667,0,0,0.999979,0.000252,0.999979,0.000021
2.700000,0,0,0.999979,0.000252,0.999979,0.000021
2.733333,0,0,0.999979,0.000252,0.999979,0.000021
2.766667,0,0,0.999979,0.000252,0.999979,0.000021
2.800000,0,0,0.999979,0.000252,0.999979,0.000021
2.833333,0,0,0.999979,0.000252,0.999979,0.000021
2.866667,0,0,0.999979,0.000252,0.999979,0.000021
2.900000,0,0,0.999979,0.000252,0.999979,0.000021
2.933333,0,0,0.999993,0.000091,0.999993,0.000007
2.966667,0,0,0.999993,0.000091,0.999993,0.000007
3.000000,0,0,0.999993,0.000091,0.999993,0.000007
3.033333,0,0,0.999993,0.000091,0.999993,0.000007
3.066667,0,0,0.999993,0.000091,0.999993,0.000007
3.100000,0,0,0.999993,0.000091,0.999993,0.000007
3.133333,0,0,0.999993,0.000091,0.999993,0.000007
3.166667,0,0,0.999993,0.000091,0.999993,0.000007
3.200000,0,0,0.999997,0.000036,0.999997,0.000003
3.233333,0,0,0.999997,0.000036,0.999997,0.000003
3.266667,0,0,0.999997,0.000036,0.999997,0.000003
3.300000,0,0,0.999997,0.000036,0.999997,0.000003
3.333333,0,0,0.999997,0.000036,0.999997,0.000003
3.366667,0,0,0.999997,0.000036,0.999997,0.000003
3.400000,0,0,0.999997,0.000036,0.999997,0.000003
3.433333,0,0,0.999997,0.000036,0.999997,0.000003
3.466667,0,0,0.999999,0.000008,0.999999,0.000001
3.500000,0,0,0.999999,0.000008,0.999999,0.000001
3.533333,0,0,0.999999,0.000008,0.999999,0.000001
3.566667,0,0,0.999999,0.000008,0.999999,0.000001
3.600000,0,0,0.999999,0.000008,0.999999,0.000001
3.633333,0,0,0.999999,0.000008,0.999999,0.000001
3.666667,0,0,0.999999,0.000008,0.999999,0.000001
3.700000,0,0,0.999999,0.000008,0.999999,0.000001
3.733333,0,0,0.963831,0.155571,0.963831,0.036169
3.766667,0,0,0.963831,0.155571,0.963831,0.036169
3.800000,0,1,0.963831,0.155571,0.963831,0.036169
3.833333,0,1,0.963831,0.155571,0.963831,0.036169
3.866667,0,1,0.963831,0.155571,0.963831,0.036169
3.900000,0,1,0.963831,0.155571,0.963831,0.036169
3.933333,0,1,0.963831,0.155571,0.963831,0.036169
3.966667,0,1,0.963831,0.155571,0.963831,0.036169
4.000000,0,1,0.884515,0.357832,0.884515,0.115485
4.033333,0,1,0.884515,0.357832,0.884515,0.115485
4.066667,0,1,0.884515,0.357832,0.884515,0.115485
4.100000,0,1,0.884515,0.357832,0.884515,0.115485
4.133333,0,1,0.884515,0.357832,0.884515,0.115485
4.166667,0,1,0.884515,0.357832,0.884515,0.115485
4.200000,0,1,0.884515,0.357832,0.884515,0.115485
4.233333,0,1,0.884515,0.357832,0.884515,0.115485
4.266667,0,1,0.686601,0.621793,0.686601,0.313399
4.300000,0,1,0.686601,0.621793,0.686601,0.313399
4.333333,0,1,0.686601,0.621793,0.686601,0.313399
4.366667,0,1,0.686601,0.621793,0.686601,0.313399
4.400000,0,1,0.686601,0.621793,0.686601,0.313399
4.433333,0,1,0.686601,0.621793,0.686601,0.313399
4.466667,0,1,0.686601,0.621793,0.686601,0.313399
4.500000,0,1,0.686601,0.621793,0.686601,0.313399
4.533333,0,1,0.685852,0.622379,0.685852,0.314148
4.566667,0,1,0.685852,0.622379,0.685852,0.314148
4.600000,0,0,0.685852,0.622379,0.685852,0.314148
4.633333,0,0,0.685852,0.622379,0.685852,0.314148
4.666667,0,0,0.685852,0.622379,0.685852,0.314148
4.700000,0,0,0.685852,0.622379,0.685852,0.314148
4.733333,0,0,0.685852,0.622379,0.685852,0.314148
4.766667,0,0,0.685852,0.622379,0.685852,0.314148
4.800000,0,0,0.915998,0.288435,0.915998,0.084001
4.833333,0,0,0.915998,0.288435,0.915998,0.084001
4.866667,0,0,0.915998,0.288435,0.915998,0.084001
4.900000,0,0,0.915998,0.288435,0.915998,0.084001
4.933333,0,0,0.915998,0.288435,0.915998,0.084001
4.966667,0,0,0.915998,0.288435,0.915998,0.084001
5.000000,0,0,0.915998,0.288435,0.915998,0.084001
5.033333,0,0,0.915998,0.288435,0.915998,0.084001
5.066667,0,0,0.996064,0.025726,0.996064,0.003936
5.100000,0,0,0.996064,0.025726,0.996064,0.003936
5.133333,0,0,0.996064,0.025726,0.996064,0.003936
5.166667,0,0,0.996064,0.025726,0.996064,0.003936
5.200000,0,0,0.996064,0.025726,0.996064,0.003936
5.233333,0,0,0.996064,0.025726,0.996064,0.003936
5.266667,0,0,0.996064,0.025726,0.996064,0.003936
5.300000,0,0,0.996064,0.025726,0.996064,0.003936
5.333333,0,0,0.972455,0.126101,0.972455,0.027545
5.366667,0,0,0.972455,0.126101,0.972455,0.027545
5.400000,0,0,0.972455,0.126101,0.972455,0.027545
5.433333,0,0,0.972455,0.126101,0.972455,0.027545
5.466667,0,0,0.972455,0.126101,0.972455,0.027545
5.500000,0,0,0.972455,0.126101,0.972455,0.027545
5.533333,0,0,0.972455,0.126101,0.972455,0.027545
5.566667,0,0,0.972455,0.126101,0.972455,0.027545
5.600000,0,0,0.871833,0.382888,0.871833,0.128167
5.633333,0,0,0.871833,0.382888,0.871833,0.128167
5.666667,0,0,0.871833,0.382888,0.871833,0.128167
5.700000,0,0,0.871833,0.382888,0.871833,0.128167
5.733333,0,0,0.871833,0.382888,0.871833,0.128167
5.766667,0,0,0.871833,0.382888,0.871833,0.128167
5.800000,0,0,0.871833,0.382888,0.871833,0.128167
5.833333,0,0,0.871833,0.382888,0.871833,0.128167
5.866667,0,0,0.879214,0.368487,0.879214,0.120786
5.900000,0,0,0.879214,0.368487,0.879214,0.120786
5.933333,0,0,0.879214,0.368487,0.879214,0.120786
5.966667,0,0,0.879214,0.368487,0.879214,0.120786
6.000000,0,0,0.879214,0.368487,0.879214,0.120786
